#,"McGlathery, K.J. 2000. Fish Counts and Lengths in South Bay and Hog Island"
#,"Bay, Virginia 2012-2015. Virginia Coast Reserve Long-Term Ecological Research"
#,"Project Data Publication knb-lter-vcr.236.6"
#,"(http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.236)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.2
#,For additional information about the data contact: David Boyd
#,(dmb4dd@virginia.edu) Karen McGlathery (kjm4k@virginia.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014 and DEB-1237733. VCR/LTER: http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
"sampleDate","site","sampleTime","dissolvedOxygen","Temperature","salinity","conductivity","speciesName","Length","Count","siteComment","observers","dateId","obsId","lengthId","specObsId","modDate"
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",70,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,647,111,2014-07-21 11:31:13
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Pipefish",161,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,634,109,2014-07-21 11:29:56
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Pipefish",189,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,633,109,2014-07-21 11:29:52
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Pipefish",191,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,631,109,2014-07-21 11:29:41
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",54,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,658,111,2014-07-21 11:31:56
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",71,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,657,111,2014-07-21 11:31:52
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",55,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,656,111,2014-07-21 11:31:49
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",63,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,655,111,2014-07-21 11:31:45
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",40,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,654,111,2014-07-21 11:31:41
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",50,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,653,111,2014-07-21 11:31:37
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",54,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,652,111,2014-07-21 11:31:33
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",59,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,651,111,2014-07-21 11:31:28
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",60,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,650,111,2014-07-21 11:31:25
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Striped burrfish",164,1,"","Victoria, Andrew, DB, CB, BR, AS",16,52,659,112,2014-07-21 11:36:44
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",74,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,648,111,2014-07-21 11:31:17
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Pipefish",200,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,632,109,2014-07-21 11:29:47
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",66,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,646,111,2014-07-21 11:31:10
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",63,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,645,111,2014-07-21 11:31:06
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",71,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,644,111,2014-07-21 11:31:03
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",73,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,643,111,2014-07-21 11:30:59
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",65,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,642,111,2014-07-21 11:30:55
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",65,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,641,111,2014-07-21 11:30:53
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",66,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,640,111,2014-07-21 11:30:49
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Silversides",36,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,635,110,2014-07-21 11:30:15
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Silversides",48,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,636,110,2014-07-21 11:30:18
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Silversides",66,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,637,110,2014-07-21 11:30:24
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Silversides",54,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,638,110,2014-07-21 11:30:27
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Silversides",54,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,639,110,2014-07-21 11:30:30
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Spot",52,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,649,111,2014-07-21 11:31:21
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Pinfish",68,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,625,108,2014-07-21 11:29:03
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Pinfish",78,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,630,108,2014-07-21 11:29:26
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Pinfish",75,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,629,108,2014-07-21 11:29:24
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Pinfish",59,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,628,108,2014-07-21 11:29:21
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Pinfish",80,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,626,108,2014-07-21 11:29:10
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Oyster Toad",115,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,624,107,2014-07-21 11:28:46
2012-06-18,"SB_106","13:08",0,23.1,32,48.9,"Pinfish",69,1,"","Andrew, Victoria, DB, BR, CB, AS",15,51,627,108,2014-07-21 11:29:15
